Invoice ID,Branch,City,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Total,Date,Time,Payment,cogs,gross margin percentage,gross income,Rating,category
750-67-8428,A,San Antonio,Member,Female,Health and beauty,74.69,7,26.1415,548.9715,05-01-2019,13:08:00,Ewallet,522.83,4.761904762,26.1415,9.1,Health and beauty
226-31-3081,C,Harlingen,Normal,Female,Electronic accessories,15.28,5,3.82,80.22,08-03-2019,10:29:00,Cash,76.4,4.761904762,3.82,9.6,Electronic accessories
631-41-3108,A,Haltom City,Normal,Male,Home and lifestyle,46.33,7,16.2155,340.5255,03-03-2019,13:23:00,Credit card,324.31,4.761904762,16.2155,7.4,Home and lifestyle
123-19-1176,A,Bedford,Member,Male,Health and beauty,58.22,8,23.288,489.048,27-01-2019,20:33:00,Ewallet,465.76,4.761904762,23.288,8.4,Health and beauty
373-73-7910,A,Irving,Normal,Male,Sports and travel,86.31,7,30.2085,634.3785,08-02-2019,10:37:00,Ewallet,604.17,4.761904762,30.2085,5.3,Sports and travel
699-14-3026,C,Denton,Normal,Male,Electronic accessories,85.39,7,29.8865,627.6165,25-03-2019,18:30:00,Ewallet,597.73,4.761904762,29.8865,4.1,Electronic accessories
355-53-5943,A,Cleburne,Member,Female,Electronic accessories,68.84,6,20.652,433.692,25-02-2019,14:36:00,Ewallet,413.04,4.761904762,20.652,5.8,Electronic accessories
315-22-5665,C,Canyon,Normal,Female,Home and lifestyle,73.56,10,36.78,772.38,24-02-2019,11:38:00,Ewallet,735.6,4.761904762,36.78,8,Home and lifestyle
665-32-9167,A,Grapevine,Member,Female,Health and beauty,36.26,2,3.626,76.146,10-01-2019,17:15:00,Credit card,72.52,4.761904762,3.626,7.2,Health and beauty
692-92-5582,B,Texas City,Member,Female,Food and beverages,54.84,3,8.226,172.746,20-02-2019,13:27:00,Credit card,164.52,4.761904762,8.226,5.9,Food and beverages
351-62-0822,B,Irving,Member,Female,Fashion accessories,14.48,4,2.896,60.816,06-02-2019,18:07:00,Ewallet,57.92,4.761904762,2.896,4.5,Fashion accessories
529-56-3974,B,San Angelo,Member,Male,Electronic accessories,25.51,4,5.102,107.142,09-03-2019,17:03:00,Cash,102.04,4.761904762,5.102,6.8,Electronic accessories
365-64-0515,A,Abilene,Normal,Female,Electronic accessories,46.95,5,11.7375,246.4875,12-02-2019,10:25:00,Ewallet,234.75,4.761904762,11.7375,7.1,Electronic accessories
252-56-2699,A,San Angelo,Normal,Male,Food and beverages,43.19,10,21.595,453.495,07-02-2019,16:48:00,Ewallet,431.9,4.761904762,21.595,8.2,Food and beverages
829-34-3910,A,Lewisville,Normal,Female,Health and beauty,71.38,10,35.69,749.49,29-03-2019,19:21:00,Cash,713.8,4.761904762,35.69,5.7,Health and beauty
299-46-1805,B,Corpus Christi,Member,Female,Sports and travel,93.72,6,28.116,590.436,15-01-2019,16:19:00,Cash,562.32,4.761904762,28.116,4.5,Sports and travel
656-95-9349,A,Round Rock,Member,Female,Health and beauty,68.93,7,24.1255,506.6355,11-03-2019,11:03:00,Credit card,482.51,4.761904762,24.1255,4.6,Health and beauty
765-26-6951,A,Cedar Park,Normal,Male,Sports and travel,72.61,6,21.783,457.443,01-01-2019,10:39:00,Credit card,435.66,4.761904762,21.783,6.9,Sports and travel
329-62-1586,A,Conroe,Normal,Male,Food and beverages,54.67,3,8.2005,172.2105,21-01-2019,18:00:00,Credit card,164.01,4.761904762,8.2005,8.6,Food and beverages
319-50-3348,B,Irving,Normal,Female,Home and lifestyle,40.3,2,4.03,84.63,11-03-2019,15:30:00,Ewallet,80.6,4.761904762,4.03,4.4,Home and lifestyle
300-71-4605,C,Pharr,Member,Male,Electronic accessories,86.04,5,21.51,451.71,25-02-2019,11:24:00,Ewallet,430.2,4.761904762,21.51,4.8,Electronic accessories
371-85-5789,B,Cleburne,Normal,Male,Health and beauty,87.98,3,13.197,277.137,05-03-2019,10:40:00,Ewallet,263.94,4.761904762,13.197,5.1,Health and beauty
273-16-6619,B,Farmers Branch,Normal,Male,Home and lifestyle,33.2,2,3.32,69.72,15-03-2019,12:20:00,Credit card,66.4,4.761904762,3.32,4.4,Home and lifestyle
636-48-8204,A,Haltom City,Normal,Male,Electronic accessories,34.56,5,8.64,181.44,17-02-2019,11:15:00,Ewallet,172.8,4.761904762,8.64,9.9,Electronic accessories
549-59-1358,A,Midland,Member,Male,Sports and travel,88.63,3,13.2945,279.1845,02-03-2019,17:36:00,Ewallet,265.89,4.761904762,13.2945,6,Sports and travel
227-03-5010,A,Houston,Member,Female,Home and lifestyle,52.59,8,21.036,441.756,22-03-2019,19:20:00,Credit card,420.72,4.761904762,21.036,8.5,Home and lifestyle
649-29-6775,B,Lancaster,Normal,Male,Fashion accessories,33.52,1,1.676,35.196,08-02-2019,15:31:00,Cash,33.52,4.761904762,1.676,6.7,Fashion accessories
189-17-4241,A,Temple,Normal,Female,Fashion accessories,87.67,2,8.767,184.107,10-03-2019,12:17:00,Credit card,175.34,4.761904762,8.767,7.7,Fashion accessories
145-94-9061,B,Garland,Normal,Female,Food and beverages,88.36,5,22.09,463.89,25-01-2019,19:48:00,Cash,441.8,4.761904762,22.09,9.6,Food and beverages
848-62-7243,A,San Marcos,Normal,Male,Health and beauty,24.89,9,11.2005,235.2105,15-03-2019,15:36:00,Cash,224.01,4.761904762,11.2005,7.4,Health and beauty
871-79-8483,B,Huntsville,Normal,Male,Fashion accessories,94.13,5,23.5325,494.1825,25-02-2019,19:39:00,Credit card,470.65,4.761904762,23.5325,4.8,Fashion accessories
149-71-6266,B,Mineral Wells,Member,Male,Sports and travel,78.07,9,35.1315,737.7615,28-01-2019,12:43:00,Cash,702.63,4.761904762,35.1315,4.5,Sports and travel
640-49-2076,B,McAllen,Normal,Male,Sports and travel,83.78,8,33.512,703.752,10-01-2019,14:49:00,Cash,670.24,4.761904762,33.512,5.1,Sports and travel
595-11-5460,A,Eagle Pass,Normal,Male,Health and beauty,96.58,2,9.658,202.818,15-03-2019,10:12:00,Credit card,193.16,4.761904762,9.658,5.1,Health and beauty
183-56-6882,C,Mesquite,Member,Female,Food and beverages,99.42,4,19.884,417.564,06-02-2019,10:42:00,Ewallet,397.68,4.761904762,19.884,7.5,Food and beverages
232-16-2483,C,Big Spring,Member,Female,Sports and travel,68.12,1,3.406,71.526,07-01-2019,12:28:00,Ewallet,68.12,4.761904762,3.406,6.8,Sports and travel
129-29-8530,A,Mission,Member,Male,Sports and travel,62.62,5,15.655,328.755,10-03-2019,19:15:00,Ewallet,313.1,4.761904762,15.655,7,Sports and travel
272-65-1806,A,Hurst,Normal,Female,Electronic accessories,60.88,9,27.396,575.316,15-01-2019,17:17:00,Ewallet,547.92,4.761904762,27.396,4.7,Electronic accessories
333-73-7901,C,Hurst,Normal,Female,Health and beauty,54.92,8,21.968,461.328,23-03-2019,13:24:00,Ewallet,439.36,4.761904762,21.968,7.6,Health and beauty
